node,stopping_time,total_stopping_time,maximum_excursion,binary_length,parity_vector_length,in_degree,out_degree,distance_from_root,ancestor_count,branching_factor,level_set,umap_1,umap_2
1,0,0,1,1,0,1,1,0,4,1,0,3.7080863,3.4633493
2,1,1,2,2,1,1,1,1,4,1,1,4.038048,5.626116
3,6,7,16,2,7,1,1,7,2,1,7,5.986465,5.4679003
4,1,2,4,3,2,2,1,2,4,2,2,5.2948923,4.6175933
5,3,5,16,3,5,1,1,5,2,1,5,5.782763,3.3473086
6,1,8,16,3,8,1,1,8,2,1,8,5.93172,4.566533
7,11,16,52,3,16,1,1,16,2,1,16,4.917289,3.7437065
8,1,3,8,4,3,1,1,3,2,1,3,4.9675994,5.5772543
9,3,19,52,4,19,1,1,19,2,1,19,4.4796233,6.001265
10,1,6,16,4,6,2,1,6,3,2,6,4.8872886,3.5442662
11,8,14,52,4,14,1,1,14,2,1,14,4.177906,4.1963615
12,1,9,16,4,9,1,1,9,2,1,9,3.9435263,5.207138
13,3,9,40,4,9,1,1,9,2,1,9,5.403698,4.1555495
14,1,17,52,4,17,1,1,17,2,1,17,2.5960705,3.8257887
15,11,17,160,4,17,1,1,17,2,1,17,4.2364717,3.5345259
16,1,4,16,5,4,2,1,4,3,2,4,5.3191524,5.9905224
17,3,12,52,5,12,1,1,12,2,1,12,5.992236,4.2192407
18,1,20,52,5,20,1,1,20,2,1,20,4.8105164,4.8089037
19,6,20,88,5,20,1,1,20,2,1,20,5.5698867,4.7586007
20,1,7,20,5,7,1,1,7,2,1,7,4.0482974,6.7138534
21,3,7,64,5,7,1,1,7,2,1,7,3.538644,5.0415983
22,1,15,52,5,15,2,1,15,3,2,15,3.7822154,3.707511
23,8,15,160,5,15,1,1,15,2,1,15,6.1587057,4.0542703
24,1,10,24,5,10,1,1,10,2,1,10,3.6168547,6.7586565
25,3,23,88,5,23,1,1,23,2,1,23,4.8446503,4.21067
26,1,10,40,5,10,1,1,10,2,1,10,6.042229,6.2831974
27,96,111,9232,5,111,1,1,111,2,1,111,5.2365084,4.5653496
28,1,18,52,5,18,2,1,18,3,2,18,2.4011567,4.654316
29,3,18,88,5,18,1,1,18,2,1,18,3.565292,4.959811
30,1,18,160,5,18,1,1,18,2,1,18,6.590353,4.432916
31,91,106,9232,5,106,1,1,106,2,1,106,4.013514,4.912821
32,1,5,32,6,5,1,1,5,2,1,5,5.5890594,5.322503
33,3,26,100,6,26,1,1,26,2,1,26,3.3963573,3.9589775
34,1,13,52,6,13,2,1,13,3,2,13,4.209382,7.445356
35,6,13,160,6,13,1,1,13,2,1,13,5.7094426,5.061765
36,1,21,52,6,21,1,1,21,2,1,21,3.7014966,4.4229345
37,3,21,112,6,21,1,1,21,2,1,21,6.7895894,5.7308235
38,1,21,88,6,21,1,1,21,2,1,21,5.6711364,4.9166155
39,13,34,304,6,34,1,1,34,2,1,34,4.5185437,4.688645
40,1,8,40,6,8,2,1,8,3,2,8,5.2931237,6.586467
41,3,109,9232,6,109,1,1,109,2,1,109,6.422102,6.2348967
42,1,8,64,6,8,1,1,8,2,1,8,5.729246,7.1547728
43,8,29,196,6,29,1,1,29,2,1,29,4.818367,4.8257437
44,1,16,52,6,16,1,1,16,2,1,16,4.1505475,2.791568
45,3,16,136,6,16,1,1,16,2,1,16,3.6366558,6.895703
46,1,16,160,6,16,2,1,16,3,2,16,4.739547,4.9382715
47,88,104,9232,6,104,1,1,104,2,1,104,3.1522083,4.281305
48,1,11,48,6,11,1,1,11,2,1,11,4.957738,6.8830137
49,3,24,148,6,24,1,1,24,2,1,24,3.3448682,6.426858
50,1,24,88,6,24,1,1,24,2,1,24,5.9698486,6.5171547
51,6,24,232,6,24,1,1,24,2,1,24,3.2160833,5.0919557
52,1,11,52,6,11,2,1,11,3,2,11,3.9265127,3.4254687
53,3,11,160,6,11,1,1,11,2,1,11,6.0146704,5.313221
54,1,112,9232,6,112,1,1,112,2,1,112,4.451216,5.039464
55,8,112,9232,6,112,1,1,112,2,1,112,3.48773,6.3212657
56,1,19,56,6,19,1,1,19,2,1,19,5.790079,6.446696
57,3,32,196,6,32,1,1,32,2,1,32,4.097699,5.089424
58,1,19,88,6,19,2,1,19,3,2,19,4.400854,3.0397005
59,11,32,304,6,32,1,1,32,2,1,32,4.951255,3.990055
60,1,19,160,6,19,1,1,19,2,1,19,4.840013,5.0071177
61,3,19,184,6,19,1,1,19,2,1,19,6.316022,3.1292472
62,1,107,9232,6,107,1,1,107,2,1,107,4.6343412,3.5973928
63,88,107,9232,6,107,1,1,107,2,1,107,3.2873433,4.7327127
64,1,6,64,7,6,2,1,6,3,2,6,4.5337105,4.543527
65,3,27,196,7,27,1,1,27,2,1,27,5.140748,6.1418996
66,1,27,100,7,27,1,1,27,2,1,27,4.5412498,3.865359
67,6,27,304,7,27,1,1,27,2,1,27,3.4965115,5.1732416
68,1,14,68,7,14,1,1,14,2,1,14,4.621771,5.037922
69,3,14,208,7,14,1,1,14,2,1,14,5.7728105,5.0079775
70,1,14,160,7,14,2,1,14,3,2,14,4.5259457,6.7937913
71,83,102,9232,7,102,1,1,102,2,1,102,4.6967554,6.443487
