cluster,cluster_size,property,mean,std,median,iqr,min,max
-1,9851,stopping_time,5.115825804486854,10.014469496950793,1.0,5.0,0.0,171.0
-1,9851,total_stopping_time,107.97533245355801,51.5006723986746,100.0,81.0,0.0,327.0
-1,9851,maximum_excursion,750725.4825905999,16932206.71705375,144340.0,270864.0,1.0,1570824736.0
-1,9851,binary_length,15.677291645518222,1.4779916982396128,16.0,2.0,1.0,17.0
-1,9851,level_set,34.73545832910364,51.60048793108435,-1.0,64.5,-1.0,194.0
-1,9851,distance_from_root,34.73545832910364,51.60048793108435,-1.0,64.5,-1.0,194.0
-1,9851,in_degree,0.6827733225053294,0.6278860183005975,1.0,1.0,0.0,2.0
-1,9851,ancestor_count,1.682976347578926,0.6283117624591166,2.0,1.0,1.0,4.0
0,105,stopping_time,4.20952380952381,7.121657428937971,3.0,2.0,1.0,65.0
0,105,total_stopping_time,109.44761904761904,50.049115106088486,104.0,87.0,30.0,262.0
0,105,maximum_excursion,758115.8857142857,3850631.0885355505,172528.0,209628.0,2536.0,38757832.0
0,105,binary_length,15.790476190476191,1.2850439169463144,16.0,2.0,10.0,17.0
0,105,level_set,32.0,53.02128952465361,-1.0,51.0,-1.0,167.0
0,105,distance_from_root,32.0,53.02128952465361,-1.0,51.0,-1.0,167.0
0,105,in_degree,0.6857142857142857,0.6065403172605964,1.0,1.0,0.0,2.0
0,105,ancestor_count,1.6857142857142857,0.6065403172605964,2.0,1.0,1.0,3.0
1,44,stopping_time,5.0227272727272725,10.205810814441216,1.0,2.0,1.0,52.0
1,44,total_stopping_time,112.02272727272727,51.00734734791719,97.5,66.25,31.0,272.0
1,44,maximum_excursion,481088.1818181818,1131921.5505389553,173446.0,231813.0,13976.0,7234324.0
1,44,binary_length,16.227272727272727,0.9259794903392438,17.0,1.25,14.0,17.0
1,44,level_set,31.25,50.21821699524803,-1.0,57.75,-1.0,156.0
1,44,distance_from_root,31.25,50.21821699524803,-1.0,57.75,-1.0,156.0
1,44,in_degree,0.5227272727272727,0.5834317114997016,0.0,1.0,0.0,2.0
1,44,ancestor_count,1.5227272727272727,0.5834317114997016,1.0,1.0,1.0,3.0
