algorithm,param_name,param_value,n_clusters,n_noise,noise_ratio,silhouette_score,calinski_harabasz_score,davies_bouldin_score,n_fitted,n_metric_rows
KMeans,n_clusters,2,2,0,0.0,0.0061136335134506226,62.56409874055213,12.63861396275996,10000,10000
KMeans,n_clusters,3,3,0,0.0,0.005491466727107763,53.968594383812565,11.18533486950487,10000,10000
KMeans,n_clusters,4,4,0,0.0,0.0052401162683963776,47.442760260868006,10.33929217400629,10000,10000
KMeans,n_clusters,5,5,0,0.0,0.005236783064901829,43.12813834602799,9.757639464498782,10000,10000
KMeans,n_clusters,6,6,0,0.0,0.00524393143132329,39.73323390391185,9.253473804292865,10000,10000
KMeans,n_clusters,7,7,0,0.0,0.005295245908200741,36.91363185795141,8.938599727570116,10000,10000
KMeans,n_clusters,8,8,0,0.0,0.005354179535061121,34.860174611207306,8.58852025804322,10000,10000
KMeans,n_clusters,9,9,0,0.0,0.005337974987924099,32.52123842663583,8.45905945845496,10000,10000
KMeans,n_clusters,10,10,0,0.0,0.005425185896456242,30.887484574549813,8.24987432784398,10000,10000
KMeans,n_clusters,11,11,0,0.0,0.005543937440961599,29.65683270774399,8.024576464576498,10000,10000
KMeans,n_clusters,12,12,0,0.0,0.0055128359235823154,28.201865248625772,7.963107418312821,10000,10000
KMeans,n_clusters,13,13,0,0.0,0.005564260296523571,26.978673482291534,7.778016092610857,10000,10000
KMeans,n_clusters,14,14,0,0.0,0.005644658114761114,25.945942085786694,7.6431943332269245,10000,10000
KMeans,n_clusters,15,15,0,0.0,0.0056742290034890175,25.011642238279496,7.566725017045665,10000,10000
