node,kmeans_k2,dbscan_eps_0.05_ms_5,hdbscan_mcs30
1,0,-1,-1
2,1,-2,-2
3,0,-2,-2
4,0,-2,-2
5,1,-2,-2
6,1,-2,-2
7,0,-2,-2
8,1,-2,-2
9,0,-2,-2
10,0,-2,-2
11,0,-2,-2
12,1,-2,-2
13,0,-2,-2
14,1,-2,-2
15,1,-2,-2
16,1,-2,-2
17,1,-2,-2
18,1,-1,-1
19,1,-2,-2
20,1,-2,-2
21,0,-2,-2
22,0,-2,-2
23,1,-2,-2
24,1,-2,-2
25,1,-1,-1
26,0,-2,-2
27,0,-1,-1
28,1,-1,-1
29,0,-2,-2
30,1,-2,-2
31,1,-2,-2
32,0,-2,-2
33,0,-2,-2
34,1,-2,-2
35,0,-2,-2
36,0,-2,-2
37,0,-1,-1
38,0,-1,-1
39,1,-2,-2
40,1,-2,-2
41,1,-2,-2
42,0,-2,-2
43,1,-1,-1
44,1,-1,-1
45,0,-2,-2
46,0,-2,-2
47,1,-2,-2
48,1,-2,-2
49,0,-2,-2
50,1,-2,-2
51,0,-1,-1
52,0,-2,-2
53,0,-2,-2
54,1,-2,-2
55,1,-2,-2
56,1,-2,-2
57,1,-2,-2
58,0,-1,-1
59,0,-2,-2
60,0,-1,-1
61,0,-2,-2
62,0,-2,-2
63,1,-2,-2
64,0,-2,-2
65,1,-2,-2
66,0,-2,-2
67,1,-1,-1
68,0,-2,-2
69,1,-2,-2
70,1,-2,-2
71,1,-1,-1
72,1,-2,-2
73,1,-2,-2
74,1,-2,-2
75,1,-1,-1
76,0,-2,-2
77,1,-2,-2
78,0,-2,-2
79,0,-2,-2
80,0,-1,-1
81,0,-1,-1
82,1,-1,-1
83,1,-2,-2
84,1,-2,-2
85,1,-2,-2
86,0,-2,-2
87,0,-2,-2
88,0,-2,-2
89,1,-2,-2
90,0,-2,-2
91,0,-2,-2
92,1,-2,-2
93,1,-1,-1
94,0,-2,-2
95,1,-2,-2
96,1,-2,-2
97,0,-2,-2
98,0,-2,-2
99,1,-2,-2
100,1,-2,-2
101,1,-2,-2
102,0,-2,-2
103,1,-2,-2
104,0,-1,-1
105,0,-2,-2
106,0,-2,-2
107,0,-1,-1
108,1,-2,-2
109,0,-2,-2
110,1,-2,-2
111,1,-1,-1
112,1,-2,-2
113,1,-2,-2
114,0,-2,-2
115,0,-2,-2
116,1,-2,-2
117,0,-2,-2
118,1,-2,-2
119,0,-2,-2
120,0,-2,-2
121,0,-1,-1
122,0,-2,-2
123,0,-2,-2
124,0,-2,-2
125,1,-2,-2
126,1,-2,-2
127,1,-1,-1
128,1,-2,-2
129,0,-2,-2
130,1,-2,-2
131,0,-2,-2
132,1,-2,-2
133,0,-2,-2
134,1,-2,-2
135,1,-2,-2
136,0,-2,-2
137,0,-2,-2
138,1,-1,-1
139,1,-2,-2
140,1,-2,-2
141,1,-2,-2
142,0,-2,-2
143,0,-2,-2
144,1,-2,-2
145,0,-1,-1
146,0,-2,-2
147,0,-2,-2
148,0,-1,-1
149,1,-1,-1
150,0,-2,-2
151,0,-2,-2
152,0,-2,-2
153,1,-2,-2
154,1,-2,-2
155,0,-2,-2
156,0,-1,-1
157,0,-1,-1
158,0,-1,-1
159,0,-2,-2
160,0,-2,-2
161,1,-2,-2
162,0,-2,-2
163,0,-2,-2
164,1,-2,-2
165,0,-2,-2
166,0,-2,-2
167,0,-2,-2
168,0,-2,-2
169,1,-2,-2
170,0,-2,-2
171,0,-2,-2
172,1,-1,-1
173,0,-2,-2
174,1,-2,-2
175,0,-1,-1
176,0,-2,-2
177,1,-2,-2
178,1,-2,-2
179,1,-1,-1
180,1,-1,-1
181,0,-2,-2
182,0,-2,-2
183,1,-2,-2
184,0,-2,-2
185,1,-2,-2
186,1,-2,-2
187,1,-2,-2
188,1,-2,-2
189,0,-2,-2
190,1,-2,-2
191,1,-1,-1
192,0,-2,-2
193,1,-2,-2
194,0,-1,-1
195,1,-2,-2
196,0,-2,-2
197,0,-2,-2
198,0,-2,-2
199,0,-2,-2
200,1,-2,-2
201,1,-1,-1
202,1,-1,-1
203,0,-2,-2
204,0,-2,-2
205,1,-1,-1
206,1,-2,-2
207,0,-2,-2
208,1,-2,-2
209,1,-2,-2
210,0,-2,-2
211,0,-2,-2
212,0,-1,-1
213,1,-2,-2
214,1,-2,-2
215,1,-2,-2
216,0,-1,-1
217,0,-2,-2
218,1,-2,-2
219,1,-1,-1
220,1,-1,-1
221,1,-1,-1
222,1,-2,-2
223,0,-2,-2
224,1,-1,-1
225,0,-2,-2
226,1,-2,-2
227,0,-2,-2
228,0,-2,-2
229,0,-2,-2
230,0,-1,-1
231,1,-2,-2
232,0,-2,-2
233,0,-1,-1
234,0,-2,-2
235,0,-2,-2
236,0,-2,-2
237,1,-2,-2
238,1,-2,-2
239,0,-2,-2
240,1,-2,-2
241,1,-1,-1
242,1,-2,-2
243,0,-2,-2
244,1,-2,-2
245,0,-2,-2
246,1,-1,-1
247,0,-2,-2
248,0,-1,-1
249,0,-2,-2
250,1,-2,-2
251,1,-1,-1
252,0,-2,-2
253,0,-2,-2
254,0,-2,-2
255,1,-2,-2
256,1,-2,-2
257,0,-2,-2
258,0,-2,-2
259,1,-2,-2
260,0,-1,-1
261,1,-2,-2
262,1,-2,-2
263,0,-2,-2
264,0,-1,-1
265,1,-2,-2
266,1,-2,-2
267,1,-1,-1
268,1,-2,-2
269,0,-2,-2
270,1,-1,-1
271,1,-2,-2
272,0,-2,-2
273,0,-2,-2
274,0,-2,-2
275,0,-2,-2
276,1,-1,-1
277,1,-2,-2
278,0,-2,-2
279,1,-2,-2
280,0,-2,-2
281,0,-2,-2
282,1,-2,-2
283,0,-2,-2
284,0,-2,-2
285,1,-2,-2
286,1,-2,-2
287,1,-2,-2
288,0,-2,-2
289,1,-1,-1
290,1,-1,-1
291,0,-2,-2
292,1,-2,-2
293,0,-2,-2
294,0,-1,-1
295,0,-2,-2
296,1,-2,-2
297,0,-2,-2
298,0,-2,-2
299,0,-2,-2
300,0,-2,-2
301,0,-2,-2
302,0,-2,-2
303,1,-2,-2
304,0,-2,-2
305,1,-1,-1
306,1,-1,-1
307,1,-2,-2
308,1,-1,-1
309,0,-2,-2
310,0,-2,-2
311,0,-2,-2
312,0,-1,-1
313,0,-2,-2
314,1,-2,-2
315,1,-2,-2
316,0,-2,-2
317,1,-2,-2
318,0,-2,-2
319,0,-2,-2
320,0,-2,-2
