cluster,cluster_size,property,mean,std,median,iqr,min,max
0,24992,stopping_time,5.2171494878361075,10.391616650555216,1.0,2.0,0.0,220.0
0,24992,total_stopping_time,100.02972951344431,49.62296743329508,92.0,81.0,0.0,323.0
0,24992,maximum_excursion,278276.6319222151,1731289.0707701992,71476.0,139464.0,1.0,121012864.0
0,24992,binary_length,14.6875,1.4874014105633915,15.0,2.0,1.0,16.0
0,24992,level_set,32.30089628681178,48.77529517913004,-1.0,57.0,-1.0,189.0
0,24992,distance_from_root,32.30089628681178,48.77529517913004,-1.0,57.0,-1.0,189.0
0,24992,in_degree,0.6697343149807938,0.6251116109003297,1.0,1.0,0.0,2.0
0,24992,ancestor_count,1.6698543533930859,0.6253989849998115,2.0,1.0,1.0,4.0
1,25008,stopping_time,5.177783109404991,10.044032090053431,3.0,5.0,1.0,181.0
1,25008,total_stopping_time,100.97452815099169,49.84677769503644,93.0,80.0,1.0,313.0
1,25008,maximum_excursion,278237.0710972489,1883641.1241306479,73060.0,144823.0,2.0,121012864.0
1,25008,binary_length,14.691738643634038,1.4853008349181405,15.0,2.0,2.0,16.0
1,25008,level_set,32.4186660268714,49.53305497480146,-1.0,57.0,-1.0,191.0
1,25008,distance_from_root,32.4186660268714,49.53305497480146,-1.0,57.0,-1.0,191.0
1,25008,in_degree,0.6635876519513756,0.6221146743976423,1.0,1.0,0.0,2.0
1,25008,ancestor_count,1.6636676263595649,0.6222864447167743,2.0,1.0,1.0,4.0
