algorithm,param_name,param_value,n_clusters,n_noise,noise_ratio,silhouette_score,calinski_harabasz_score,davies_bouldin_score,n_fitted,n_metric_rows,eps,min_samples
KMeans,n_clusters,2,2,0,0.0,0.005612045060843229,279.2640331418798,13.380276854106242,50000,10000,,
KMeans,n_clusters,3,3,0,0.0,0.004732741042971611,236.94554307971566,11.878020118722949,50000,10000,,
KMeans,n_clusters,4,4,0,0.0,0.0045271264389157295,209.52509708530297,10.956763711244307,50000,10000,,
KMeans,n_clusters,5,5,0,0.0,0.004469116684049368,189.12250931029078,10.326772763126892,50000,10000,,
KMeans,n_clusters,6,6,0,0.0,0.0043816049583256245,173.7938535160726,9.833861269098314,50000,10000,,
KMeans,n_clusters,7,7,0,0.0,0.0043591661378741264,160.8982625031263,9.518996467882818,50000,10000,,
KMeans,n_clusters,8,8,0,0.0,0.004327711649239063,150.0043490704691,9.21435807152893,50000,10000,,
KMeans,n_clusters,9,9,0,0.0,0.004283485934138298,141.48940644033462,8.984247097202601,50000,10000,,
KMeans,n_clusters,10,10,0,0.0,0.004283157177269459,133.83555768265668,8.754351501182924,50000,10000,,
KMeans,n_clusters,11,11,0,0.0,0.004382351879030466,126.86764417320107,8.608912404091402,50000,10000,,
KMeans,n_clusters,12,12,0,0.0,0.00431724451482296,121.12338342601133,8.393471862714277,50000,10000,,
KMeans,n_clusters,13,13,0,0.0,0.004326674155890942,116.07170396465632,8.29810092942798,50000,10000,,
KMeans,n_clusters,14,14,0,0.0,0.004381900187581778,111.21126844094219,8.163294517439546,50000,10000,,
KMeans,n_clusters,15,15,0,0.0,0.004326554946601391,107.09483351096038,8.077079422780947,50000,10000,,
DBSCAN,eps_min_samples,eps_0.05_ms_5,0,10000,1.0,,,,10000,10000,0.05,5.0
DBSCAN,eps_min_samples,eps_0.05_ms_10,0,10000,1.0,,,,10000,10000,0.05,10.0
DBSCAN,eps_min_samples,eps_0.05_ms_15,0,10000,1.0,,,,10000,10000,0.05,15.0
DBSCAN,eps_min_samples,eps_0.05_ms_30,0,10000,1.0,,,,10000,10000,0.05,30.0
DBSCAN,eps_min_samples,eps_0.1_ms_5,0,10000,1.0,,,,10000,10000,0.1,5.0
DBSCAN,eps_min_samples,eps_0.1_ms_10,0,10000,1.0,,,,10000,10000,0.1,10.0
DBSCAN,eps_min_samples,eps_0.1_ms_15,0,10000,1.0,,,,10000,10000,0.1,15.0
DBSCAN,eps_min_samples,eps_0.1_ms_30,0,10000,1.0,,,,10000,10000,0.1,30.0
DBSCAN,eps_min_samples,eps_0.15_ms_5,0,10000,1.0,,,,10000,10000,0.15,5.0
DBSCAN,eps_min_samples,eps_0.15_ms_10,0,10000,1.0,,,,10000,10000,0.15,10.0
DBSCAN,eps_min_samples,eps_0.15_ms_15,0,10000,1.0,,,,10000,10000,0.15,15.0
DBSCAN,eps_min_samples,eps_0.15_ms_30,0,10000,1.0,,,,10000,10000,0.15,30.0
DBSCAN,eps_min_samples,eps_0.2_ms_5,0,10000,1.0,,,,10000,10000,0.2,5.0
DBSCAN,eps_min_samples,eps_0.2_ms_10,0,10000,1.0,,,,10000,10000,0.2,10.0
DBSCAN,eps_min_samples,eps_0.2_ms_15,0,10000,1.0,,,,10000,10000,0.2,15.0
DBSCAN,eps_min_samples,eps_0.2_ms_30,0,10000,1.0,,,,10000,10000,0.2,30.0
DBSCAN,eps_min_samples,eps_0.25_ms_5,0,10000,1.0,,,,10000,10000,0.25,5.0
DBSCAN,eps_min_samples,eps_0.25_ms_10,0,10000,1.0,,,,10000,10000,0.25,10.0
DBSCAN,eps_min_samples,eps_0.25_ms_15,0,10000,1.0,,,,10000,10000,0.25,15.0
DBSCAN,eps_min_samples,eps_0.25_ms_30,0,10000,1.0,,,,10000,10000,0.25,30.0
DBSCAN,eps_min_samples,eps_0.3_ms_5,0,10000,1.0,,,,10000,10000,0.3,5.0
DBSCAN,eps_min_samples,eps_0.3_ms_10,0,10000,1.0,,,,10000,10000,0.3,10.0
DBSCAN,eps_min_samples,eps_0.3_ms_15,0,10000,1.0,,,,10000,10000,0.3,15.0
DBSCAN,eps_min_samples,eps_0.3_ms_30,0,10000,1.0,,,,10000,10000,0.3,30.0
DBSCAN,eps_min_samples,eps_0.4_ms_5,0,10000,1.0,,,,10000,10000,0.4,5.0
DBSCAN,eps_min_samples,eps_0.4_ms_10,0,10000,1.0,,,,10000,10000,0.4,10.0
DBSCAN,eps_min_samples,eps_0.4_ms_15,0,10000,1.0,,,,10000,10000,0.4,15.0
DBSCAN,eps_min_samples,eps_0.4_ms_30,0,10000,1.0,,,,10000,10000,0.4,30.0
DBSCAN,eps_min_samples,eps_0.5_ms_5,0,10000,1.0,,,,10000,10000,0.5,5.0
DBSCAN,eps_min_samples,eps_0.5_ms_10,0,10000,1.0,,,,10000,10000,0.5,10.0
DBSCAN,eps_min_samples,eps_0.5_ms_15,0,10000,1.0,,,,10000,10000,0.5,15.0
DBSCAN,eps_min_samples,eps_0.5_ms_30,0,10000,1.0,,,,10000,10000,0.5,30.0
HDBSCAN,min_cluster_size,5,2,5406,0.5406,-0.0007728926138952374,1.5478030343951974,3.2844513666021466,10000,10000,,
HDBSCAN,min_cluster_size,10,2,9067,0.9067,-0.00016989080177154392,1.645725841318309,5.816289286871093,10000,10000,,
HDBSCAN,min_cluster_size,15,8,9785,0.9785,0.000333625910570845,1.9118674355255256,5.717858464329206,10000,10000,,
HDBSCAN,min_cluster_size,30,0,10000,1.0,,,,10000,10000,,
HDBSCAN,min_cluster_size,50,0,10000,1.0,,,,10000,10000,,
HDBSCAN,min_cluster_size,100,0,10000,1.0,,,,10000,10000,,
HDBSCAN,min_cluster_size,200,0,10000,1.0,,,,10000,10000,,
