comparison_type,max_node_a,seed_a,max_node_b,seed_b,scale_label,reference_k,adjusted_rand_index,adjusted_mutual_info
within_scale,10000,20260722,10000,20260723,N=10000,8,-4.3883651442918645e-05,-8.258893833391675e-05
within_scale,10000,20260722,10000,20260724,N=10000,8,-6.141370600030793e-05,-0.00011785260143461653
within_scale,10000,20260723,10000,20260724,N=10000,8,-9.782532482707536e-05,-0.0001625439919647027
within_scale,50000,20260722,50000,20260723,N=50000,8,-3.996232240605647e-05,-5.286823397991165e-05
within_scale,50000,20260722,50000,20260724,N=50000,8,0.00017640601827864996,0.00029201156920394885
within_scale,50000,20260723,50000,20260724,N=50000,8,-2.5269979618447276e-05,-1.3673261691731633e-05
within_scale,100000,20260722,100000,20260723,N=100000,8,-1.014191625746619e-05,-2.2623368074111568e-05
within_scale,100000,20260722,100000,20260724,N=100000,8,2.0395008545386865e-05,2.154640935995279e-05
within_scale,100000,20260723,100000,20260724,N=100000,8,-3.27369028660538e-05,-4.638885726935604e-05
cross_scale,10000,20260722,50000,20260722,10000->50000,8,-7.211978366133898e-05,-0.0001293264180951768
cross_scale,10000,20260723,50000,20260723,10000->50000,8,-8.706711571157827e-05,-0.00014561425257015855
cross_scale,10000,20260724,50000,20260724,10000->50000,8,-0.000247954610575487,-0.000421498767608328
cross_scale,10000,20260722,100000,20260722,10000->100000,8,-0.00010486024446416237,-0.00017766380063878124
cross_scale,10000,20260723,100000,20260723,10000->100000,8,-1.3866075407619633e-05,-2.4395000372199866e-05
cross_scale,10000,20260724,100000,20260724,10000->100000,8,0.0001965174047493469,0.00034105826157616425
cross_scale,50000,20260722,100000,20260722,50000->100000,8,-0.0001368925587595252,-0.00025240435625256387
cross_scale,50000,20260723,100000,20260723,50000->100000,8,-0.00023907449754920893,-0.00039991126253122
cross_scale,50000,20260724,100000,20260724,50000->100000,8,3.4712467989021676e-05,5.019985917994619e-05
