scope,max_node,seed,n_rows,effective_rank,participation_ratio,top1_variance_ratio,top10_variance_ratio,top32_variance_ratio,mean_pairwise_cosine,std_pairwise_cosine
native,10000,20260722,10000,127.20409044355556,126.42484249070336,0.009535198651969501,0.0933042880940891,0.28682665279853214,2.2861905068061183e-05,0.08840519877829951
common_core,10000,20260722,10000,127.20409044355556,126.42484249070336,0.009535198651969501,0.0933042880940891,0.28682665279853214,2.2861905068061183e-05,0.08840519877829951
native,10000,20260723,10000,127.21408337755857,126.44340350247695,0.009511970464198898,0.09321253022087493,0.2865521184950436,7.911049576536655e-07,0.08837770375054856
common_core,10000,20260723,10000,127.21408337755857,126.44340350247695,0.009511970464198898,0.09321253022087493,0.2865521184950436,7.911049576536655e-07,0.08837770375054856
native,10000,20260724,10000,127.20700639008183,126.42778181040534,0.009620076298965071,0.09354387868328636,0.28709840198597947,-1.9628985292063916e-05,0.08838032678932771
common_core,10000,20260724,10000,127.20700639008183,126.42778181040534,0.009620076298965071,0.09354387868328636,0.28709840198597947,-1.9628985292063916e-05,0.08838032678932771
native,50000,20260722,50000,127.83607261096891,127.67269141678034,0.00861095564427103,0.08499785960990866,0.2666689196824903,-2.050558053623419e-05,0.08841642640741562
common_core,50000,20260722,10000,127.18802283150673,126.38856328524518,0.009627211528709488,0.09383375084561897,0.2879455443347315,6.903690736859147e-06,0.08840060005405469
native,50000,20260723,50000,127.84196806013144,127.68457615887674,0.008568089916063696,0.08474726755094387,0.2662327673911172,-3.197906486640534e-05,0.08839698003434268
common_core,50000,20260723,10000,127.19421207556016,126.40219390905874,0.009659982371771845,0.09368475776583417,0.28740132677022967,-2.4139745952167502e-05,0.08839907559570018
native,50000,20260724,50000,127.83829380079362,127.6771174291184,0.0086267926816173,0.08491976863958349,0.2665651562376677,5.617950551317641e-06,0.08838448759835704
common_core,50000,20260724,10000,127.19022611241522,126.39688285116256,0.009587655149667878,0.09352539581062999,0.28733754958313323,-1.9787565868290002e-05,0.08838102016232909
native,100000,20260722,100000,127.91952015823746,127.83919857840014,0.008352920812734829,0.08289151355406811,0.2615992418540318,-4.234285891957512e-05,0.08837829395551619
common_core,100000,20260722,10000,127.18918761042448,126.39128409441223,0.00964306199633181,0.09389329196556805,0.28758888010588796,7.970550449321046e-06,0.0883996329180145
native,100000,20260723,100000,127.9196154712169,127.83938026488366,0.008360157090828461,0.08289113702083957,0.2616344048033741,-9.923868844685657e-06,0.08836736298983254
common_core,100000,20260723,10000,127.19708396178059,126.40759680232554,0.0096328842537153,0.09379842314092542,0.28750527005964877,-3.3523513252031734e-06,0.08837424299787025
native,100000,20260724,100000,127.91817345799998,127.8364492393266,0.00836688937929355,0.08295406098154877,0.2617739679658051,3.410353757071771e-05,0.08841757740432343
common_core,100000,20260724,10000,127.17673174317312,126.37045368753805,0.009644437743249865,0.09366585616259768,0.28760548076626824,-9.664224335015348e-06,0.08838053681047217
