comparison_type,max_node_a,seed_a,max_node_b,seed_b,scale_label,n_common_core,knn_overlap_k10,knn_overlap_k50,procrustes_residual,linear_cka,distance_spearman
within_scale,10000,20260722,10000,20260723,N=10000,10000,0.0006105263157894736,0.002550312296114947,1.3444664850797732,0.012671448847712267,0.0003891584600922223
within_scale,10000,20260722,10000,20260724,N=10000,10000,0.0006052631578947368,0.0026877104996950356,1.345365283164416,0.012537075430218196,-0.0007871917758349267
within_scale,10000,20260723,10000,20260724,N=10000,10000,0.0004526315789473684,0.002545322385436524,1.3450584113050448,0.012529311551185507,9.196797358578053e-05
within_scale,50000,20260722,50000,20260723,N=50000,10000,0.00042105263157894745,0.002492888650140995,1.3441984407099126,0.012764606194420686,0.0007961912588641346
within_scale,50000,20260722,50000,20260724,N=50000,10000,0.0006,0.002624691927692664,1.344339283015164,0.012846569390543228,-1.4816906745575109e-05
within_scale,50000,20260723,50000,20260724,N=50000,10000,0.0005690058479532164,0.002500013441802838,1.3443623214885083,0.012841435706673895,-0.0013043690035687186
within_scale,100000,20260722,100000,20260723,N=100000,10000,0.0005105263157894736,0.002642795751540229,1.3448246672827977,0.012681029829302349,-0.00024485364024600314
within_scale,100000,20260722,100000,20260724,N=100000,10000,0.00046900584795321636,0.002599061944200887,1.3445244303083812,0.01272493028454955,-0.0008996665302696692
within_scale,100000,20260723,100000,20260724,N=100000,10000,0.0005011695906432748,0.0026428975213953123,1.3443703528013426,0.01277041310582775,0.001236801632909608
cross_scale,10000,20260722,50000,20260722,10000->50000,10000,0.0005374269005847954,0.002591323741305332,1.344523373969049,0.01276285677174758,-0.0005422522191398759
cross_scale,10000,20260723,50000,20260723,10000->50000,10000,0.0005473684210526315,0.0025525419897648796,1.345040671439585,0.012481889260535254,0.00016589722644377118
cross_scale,10000,20260724,50000,20260724,10000->50000,10000,0.0005210526315789474,0.002560807554824492,1.3447851182706716,0.012677660060151108,0.0007936425932208519
cross_scale,10000,20260722,100000,20260722,10000->100000,10000,0.0006947368421052632,0.002542311421600818,1.3447440398110988,0.012741225052915408,-0.0003180307956834975
cross_scale,10000,20260723,100000,20260723,10000->100000,10000,0.0004894736842105264,0.002563243894871288,1.3439998975315688,0.012866502876446525,-0.00043919123896019914
cross_scale,10000,20260724,100000,20260724,10000->100000,10000,0.0005058479532163742,0.0024386794517869633,1.3450232710341932,0.012565150218451046,0.0006843424352487624
cross_scale,50000,20260722,100000,20260722,50000->100000,10000,0.00042631578947368415,0.0024757516518009895,1.3446952816442275,0.012636939207100144,0.000676232358837978
cross_scale,50000,20260723,100000,20260723,50000->100000,10000,0.0005263157894736842,0.0024539372262494504,1.3441735487231918,0.012877832198875642,0.0003344441621446524
cross_scale,50000,20260724,100000,20260724,50000->100000,10000,0.0005216374269005848,0.002618914794908904,1.3443504614865074,0.012756812682559833,-0.00033741812998851943
