max_node,seed_a,seed_b,pool_size,k,knn_overlap
10000,20260722,20260723,2000,10,0.002634502923976608
10000,20260722,20260723,5000,10,0.0009894736842105262
10000,20260722,20260723,10000,10,0.0006105263157894736
50000,20260722,20260723,2000,10,0.003160818713450292
50000,20260722,20260723,5000,10,0.0008421052631578947
50000,20260722,20260723,10000,10,0.0004578947368421052
50000,20260722,20260723,20000,10,0.0003052631578947368
100000,20260722,20260723,2000,10,0.0032719298245614033
100000,20260722,20260723,5000,10,0.0011380116959064325
100000,20260722,20260723,10000,10,0.00048421052631578945
100000,20260722,20260723,20000,10,0.00031052631578947366
