node,stopping_time,total_stopping_time,maximum_excursion,binary_length,parity_vector_length,in_degree,out_degree,distance_from_root,ancestor_count,branching_factor,ollivier_ricci,branching_entropy,ancestor_density_k2,local_potential,flow_energy
1,0,0,1,1,0,1,1,0,4,1,0.9285714285714286,0.0,1.3333333333333333,0.0,2.5902903939802346
2,1,1,2,2,1,1,1,1,4,1,0.9285714285714286,0.0,1.0,1.6094379124341003,2.5902903939802346
3,6,7,16,2,7,1,1,7,2,1,0.6190476190476191,0.0,0.6666666666666666,9.287301413112312,1.2069489608125807
4,1,2,4,3,2,2,1,2,4,2,0.7619047619047619,0.6365141682928128,0.8,3.2188758248682006,11.56811053673352
5,3,5,16,3,5,1,1,5,2,1,0.5714285714285714,0.0,0.5,6.802394763324311,1.9218120556728038
6,1,8,16,3,8,1,1,8,2,1,0.6666666666666666,0.0,0.6666666666666666,10.38591370178042,1.2069489608125807
7,11,16,52,3,16,1,1,16,2,1,0.6190476190476191,0.0,0.6666666666666666,20.32554030093242,1.2069489608125767
8,1,3,8,4,3,1,1,3,2,1,0.5714285714285714,0.0,0.5,4.31748811353631,1.9218120556728062
9,3,19,52,4,19,1,1,19,2,1,0.6190476190476191,0.0,0.6666666666666666,23.90905923938853,1.2069489608125925
10,1,6,16,4,6,2,1,6,3,2,0.5714285714285714,0.6931471805579453,0.6,8.1886891244442,2.413897921625169
11,8,14,52,4,14,1,1,14,2,1,0.5714285714285714,0.0,0.5,17.84063365114442,1.9218120556728062
12,1,9,16,4,9,1,1,9,2,1,0.6666666666666666,0.0,0.6666666666666666,11.48452599044853,1.2069489608125807
13,3,9,40,4,9,1,1,9,2,1,0.6190476190476191,0.0,0.6666666666666666,11.77220806290031,1.2069489608125807
14,1,17,52,4,17,1,1,17,2,1,0.6190476190476191,0.0,0.5,21.424152589600528,1.921812055672816
15,11,17,160,4,17,1,1,17,2,1,0.6190476190476191,0.0,0.6666666666666666,21.71183466205231,1.2069489608125845
16,1,4,16,5,4,2,1,4,3,2,0.5714285714285714,0.6931471805579453,0.6,5.703782474656201,2.4138979216251655
17,3,12,52,5,12,1,1,12,2,1,0.5714285714285714,0.0,0.5,15.355727001356419,1.921812055672811
18,1,20,52,5,20,1,1,20,2,1,0.6666666666666666,0.0,0.6666666666666666,25.007671528056644,1.2069489608125767
19,6,20,88,5,20,1,1,20,2,1,0.6190476190476191,0.0,0.6666666666666666,25.295353600508424,1.2069489608125767
20,1,7,20,5,7,1,1,7,2,1,0.5714285714285714,0.0,0.5,9.287301413112312,1.9218120556728013
21,3,7,64,5,7,1,1,7,2,1,0.6190476190476191,0.0,0.6666666666666666,9.287301413112312,1.2069489608125807
22,1,15,52,5,15,2,1,15,3,2,0.5714285714285714,0.6931471805579453,0.6,19.22692801226431,2.413897921625169
23,8,15,160,5,15,1,1,15,2,1,0.5714285714285714,0.0,0.5,19.22692801226431,1.9218120556728062
24,1,10,24,5,10,1,1,10,2,1,0.6666666666666666,0.0,0.6666666666666666,12.583138279116639,1.2069489608125807
25,3,23,88,5,23,1,1,23,2,1,0.6190476190476191,0.0,0.6666666666666666,28.878872538964536,1.2069489608125845
26,1,10,40,5,10,1,1,10,2,1,0.6190476190476191,0.0,0.5,12.870820351568419,1.9218120556728062
27,96,111,9232,5,111,1,1,111,2,1,0.6190476190476191,0.0,0.6666666666666666,135.9133085500222,1.2069489608126394
28,1,18,52,5,18,2,1,18,3,2,0.5714285714285714,0.6931471805579453,0.6,22.810446950720422,2.4138979216251535
29,3,18,88,5,18,1,1,18,2,1,0.5714285714285714,0.0,0.5,22.810446950720422,1.9218120556728062
30,1,18,160,5,18,1,1,18,2,1,0.6666666666666666,0.0,0.6666666666666666,22.810446950720422,1.2069489608125845
31,91,106,9232,5,106,1,1,106,2,1,0.6190476190476191,0.0,0.6666666666666666,129.84488296177813,1.2069489608125767
32,1,5,32,6,5,1,1,5,2,1,0.5714285714285714,0.0,0.5,6.802394763324311,1.9218120556728038
33,3,26,100,6,26,1,1,26,2,1,0.6190476190476191,0.0,0.6666666666666666,32.46239147742065,1.2069489608125767
34,1,13,52,6,13,2,1,13,3,2,0.5714285714285714,0.6931471805579453,0.6,16.74202136247631,2.4138979216251535
35,6,13,160,6,13,1,1,13,2,1,0.5714285714285714,0.0,0.5,16.74202136247631,1.9218120556728062
36,1,21,52,6,21,1,1,21,2,1,0.6666666666666666,0.0,0.6666666666666666,26.10628381672475,1.2069489608125845
37,3,21,112,6,21,1,1,21,2,1,0.6190476190476191,0.0,0.6666666666666666,26.39396588917653,1.2069489608125925
38,1,21,88,6,21,1,1,21,2,1,0.6190476190476191,0.0,0.5,26.39396588917653,1.921812055672816
39,13,34,304,6,34,1,1,34,2,1,0.6190476190476191,0.0,0.6666666666666666,42.402018076572645,1.2069489608125612
40,1,8,40,6,8,2,1,8,3,2,0.5714285714285714,0.6931471805579453,0.6,10.6735957742322,2.4138979216251615
41,3,109,9232,6,109,1,1,109,2,1,0.5714285714285714,0.0,0.5,133.4284019002342,1.921812055672816
42,1,8,64,6,8,1,1,8,2,1,0.6666666666666666,0.0,0.6666666666666666,10.38591370178042,1.2069489608125807
43,8,29,196,6,29,1,1,29,2,1,0.6190476190476191,0.0,0.6666666666666666,36.04591041587676,1.2069489608125925
44,1,16,52,6,16,1,1,16,2,1,0.5714285714285714,0.0,0.5,20.32554030093242,1.9218120556728062
45,3,16,136,6,16,1,1,16,2,1,0.6190476190476191,0.0,0.6666666666666666,20.32554030093242,1.2069489608125767
46,1,16,160,6,16,2,1,16,3,2,0.5714285714285714,0.6931471805579453,0.6,20.6132223733842,2.413897921625169
47,88,104,9232,6,104,1,1,104,2,1,0.5714285714285714,0.0,0.5,127.35997631199012,1.921812055672816
48,1,11,48,6,11,1,1,11,2,1,0.6666666666666666,0.0,0.6666666666666666,13.681750567784748,1.2069489608125845
49,3,24,148,6,24,1,1,24,2,1,0.6190476190476191,0.0,0.6666666666666666,29.977484827632644,1.2069489608125925
50,1,24,88,6,24,1,1,24,2,1,0.6190476190476191,0.0,0.5,29.977484827632647,1.9218120556728062
51,6,24,232,6,24,1,1,24,2,1,0.6190476190476191,0.0,0.6666666666666666,30.265166900084427,1.2069489608125845
52,1,11,52,6,11,2,1,11,3,2,0.5714285714285714,0.6931471805579453,0.6,14.25711471268831,2.4138979216251615
53,3,11,160,6,11,1,1,11,2,1,0.5714285714285714,0.0,0.5,14.25711471268831,1.9218120556728062
54,1,112,9232,6,112,1,1,112,2,1,0.6666666666666666,0.0,0.6666666666666666,137.01192083869034,1.2069489608125143
55,8,112,9232,6,112,1,1,112,2,1,0.6190476190476191,0.0,0.6666666666666666,137.2996029111421,1.2069489608125767
56,1,19,56,6,19,1,1,19,2,1,0.5714285714285714,0.0,0.5,23.90905923938853,1.921812055672816
57,3,32,196,6,32,1,1,32,2,1,0.6190476190476191,0.0,0.6666666666666666,39.62942935433286,1.2069489608125767
58,1,19,88,6,19,2,1,19,3,2,0.5714285714285714,0.6931471805579453,0.6,24.196741311840313,2.413897921625169
59,11,32,304,6,32,1,1,32,2,1,0.5714285714285714,0.0,0.5,39.91711142678464,1.9218120556727962
60,1,19,160,6,19,1,1,19,2,1,0.6666666666666666,0.0,0.6666666666666666,23.909059239388533,1.2069489608125845
61,3,19,184,6,19,1,1,19,2,1,0.6190476190476191,0.0,0.6666666666666666,24.196741311840313,1.2069489608125845
62,1,107,9232,6,107,1,1,107,2,1,0.6190476190476191,0.0,0.5,130.94349525044623,1.9218120556727372
63,88,107,9232,6,107,1,1,107,2,1,0.6190476190476191,0.0,0.6666666666666666,131.231177322898,1.2069489608125767
64,1,6,64,7,6,2,1,6,3,2,0.5714285714285714,0.6931471805579453,0.6,8.1886891244442,2.413897921625169
65,3,27,196,7,27,1,1,27,2,1,0.5714285714285714,0.0,0.5,33.56100376608876,1.921812055672816
66,1,27,100,7,27,1,1,27,2,1,0.6666666666666666,0.0,0.6666666666666666,33.56100376608876,1.2069489608125925
67,6,27,304,7,27,1,1,27,2,1,0.6190476190476191,0.0,0.6666666666666666,33.84868583854055,1.2069489608125767
68,1,14,68,7,14,1,1,14,2,1,0.5714285714285714,0.0,0.5,17.84063365114442,1.9218120556728062
69,3,14,208,7,14,1,1,14,2,1,0.6190476190476191,0.0,0.6666666666666666,17.84063365114442,1.2069489608125845
70,1,14,160,7,14,2,1,14,3,2,0.5714285714285714,0.6931471805579453,0.6,18.128315723596202,2.4138979216251535
71,83,102,9232,7,102,1,1,102,2,1,0.5714285714285714,0.0,0.5,124.87506966220212,1.9218120556728555
72,1,22,72,7,22,1,1,22,2,1,0.6666666666666666,0.0,0.6666666666666666,27.204896105392862,1.2069489608125925
73,3,115,9232,7,115,1,1,115,2,1,0.6190476190476191,0.0,0.6666666666666666,140.8831218495982,1.2069489608126394
74,1,22,112,7,22,1,1,22,2,1,0.6190476190476191,0.0,0.5,27.492578177844646,1.9218120556728062
75,8,14,340,7,14,1,1,14,2,1,0.6190476190476191,0.0,0.6666666666666666,17.84063365114442,1.2069489608125845
76,1,22,88,7,22,2,1,22,3,2,0.5714285714285714,0.6931471805579453,0.6,27.780260250296426,2.413897921625169
